"search","socialmedia","termsconditions","age","behavior","interest","commercial","awareness","concern","regulation","comfort","F_internetuse","F_termsconditions","F_age","F_behavior","F_interest","F_commercial","F_awareness","F_concern","F_regulation","F_comfort","F_nationality"
1,1,3,59,3,2,2,2,2,2,3,"heavy_user","don't read","55+","disagree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,52,2,2,4,1,1,3,4,"heavy_user","don't read","40-54","agree","agree","disagree","agree","agree","disagree","uncomfortable","NETHERLANDS"
1,1,3,48,4,1,1,1,1,1,3.33333333333333,"heavy_user","don't read","40-54","disagree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,3,1,52,1,1,4,1,4,3,1,"light_user","read","40-54","agree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
1,3,3,60,4,2,2,2,3,1,3,"light_user","don't read","55+","disagree","agree","agree","agree","disagree","agree","uncomfortable","BELGIUM"
2,1,2,34,2,1,2,2,2,1,1,"light_user","read","25-39","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
2,1,1,27,1,1,1,1,4,1,2,"light_user","read","25-39","agree","agree","agree","agree","disagree","agree","comfortable","BELGIUM"
1,2,3,20,3,2,3,1,3,2,1,"light_user","don't read","15-24","disagree","agree","disagree","agree","disagree","agree","comfortable","NETHERLANDS"
1,2,3,39,2,1,4,2,4,3,1.66666666666667,"light_user","don't read","25-39","agree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
1,1,3,18,3,1,4,1,2,2,1,"heavy_user","don't read","15-24","disagree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,1,3,21,1,1,4,2,2,1,1.66666666666667,"heavy_user","don't read","15-24","agree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,4,3,15,1,1,4,2,4,2,1,"light_user","don't read","15-24","agree","agree","disagree","agree","disagree","agree","comfortable","BELGIUM"
1,3,3,50,4,2,4,2,2,1,3,"light_user","don't read","40-54","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,48,1,1,3,1,2,3,2.33333333333333,"heavy_user","don't read","40-54","agree","agree","disagree","agree","agree","disagree","comfortable","BELGIUM"
1,1,3,44,2,2,3,2,1,2,3,"heavy_user","don't read","40-54","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
